AppNumber,ApplicantType,Institution,OrganizationType,InstCity,InstState,InstPostalCode,InstCountry,CongressionalDistrict,Latitude,Longitude,CouncilDate,YearAwarded,ProjectTitle,Program,Division,ApprovedOutright,ApprovedMatching,AwardOutright,AwardMatching,OriginalAmount,SupplementAmount,BeginGrant,EndGrant,ProjectDesc,ToSupport,PrimaryDiscipline,SupplementCount,Supplements,ParticipantCount,Participants,DisciplineCount,Disciplines
FT-278790-21,2,"Regents of the University of California, Berkeley",Four-Year College,Berkeley,CA,94704-5940,USA,13,37.870290,-122.268130,2021-03-01,2021,Agents of Punishment and Protection. Assessing the Demonic in First Millennium BCE Egypt,Summer Stipends,Research Programs,6000.00,0.00,6000.00,0.00,6000.00,0.00,2021-05-01,2021-06-30,"Demonology is an integral, though often neglected aspect of the ancient Egyptian religion. Defining “demons” poses issues of ontological classification, especially when dealing with an ancient civilization whose sources of study are not always descriptive neither comprehensive. In the ancient Egyptian magical texts and representations, a variegated series of liminal beings act as agents of punishment but also of protection towards the living and the dead. A contextualized and in-depth study of each of the available sources, which will be carried out in the proposed book-project, is necessary in order to understand the role that those agents played in the ancient Egyptian religious beliefs and how people would communicate with demons through magical practices and the help of professional ritualists. By assessing the existence of an ancient Egyptian demonology, the author will also attempt a comparative study with other discourses on demons in the ancient world.",Research leading to preparation of a book on ancient Egyptian texts about the place of demons in religion.&nbsp;,Near and Middle Eastern History,0,NULL,1,Rita Lucarelli [Project Director],3,History of Religion; Near and Middle Eastern History; Near and Middle Eastern Languages
FT-278792-21,2,Old Dominion University,University,Norfolk,VA,23529-0001,USA,3,36.886050,-76.308030,2021-03-01,2021,"Tailoring Identities: Craft, Gender, and Material Culture in Urban Benin",Summer Stipends,Research Programs,6000.00,0.00,6000.00,0.00,6000.00,0.00,2022-06-01,2022-07-31,"This book manuscript project is a history of tailors and clothing in Benin from the era of the precolonial Kingdom of Dahomey (c.1600 – 1894) to the recent past. In this part of West Africa, men and women regularly bring cloth purchased in local markets to artisan tailors to sew made-to-order outfits for ceremonial and everyday wear. By tracing the long history of the objects, craft knowledge, and practices of tailoring, this project shows how the making and wearing of tailored clothing gave form and expression to modernity, urbanization, and political transformations. In doing so, “Tailoring Identities” reveals how international and regional markets in cloth and clothing intersected with colonial, national, and local politics, as well as regimes of taste and shifting notions of identity and affinity. Employing archival, visual, material, and oral sources, this project posits that as tailors made clothes, they also crafted ideas and gendered experiences of self, city, and nation.","Archival and ethnographic research so that she
can finish drafting chapters two and three of her manuscript on ""petty"" economy in
Benin, especially the practice of buying cloths and tailoring them to
made-to-order clothes.",African History,0,NULL,1,Elizabeth Fretwell [Project Director],2,African History; African Studies
FT-278800-21,2,Case Western Reserve University,University,Cleveland,OH,44106-4901,USA,11,41.505530,-81.609540,2021-03-01,2021,'Dreckapotheke' in Ancient Mesopotamia and the Graeco-Roman World,Summer Stipends,Research Programs,6000.00,0.00,6000.00,0.00,6000.00,0.00,2021-06-15,2021-08-15,"This project uses a novel methodology of identifying likely mistranslations of pharmaceutical ingredients to expand the current thinking about the interrelation between Babylonian and Graeco-Roman medicine. It challenges the commonly-held notion that no textual parallels can be found in their respective medicinal/pharmacological literature. These findings not only contribute to the broader reconstruction of the social and intellectual context within which ancient medicine developed, but also lead to a better grasp of the often elusive connection between academic and popular healing practices. This study thus develops our understanding of how ideas circulated, developed, created a tradition, and eventually were transmitted in the Ancient World.",Research and writing leading to a book about how ancient Mesopotamian medical knowledge influenced later Greco-Roman scholars.,"History and Philosophy of Science, Technology, and Medicine",0,NULL,1,Maddalena Rumor [Project Director],3,"Classics; History and Philosophy of Science, Technology, and Medicine; Near and Middle Eastern History"
FT-278823-21,2,Truman State University,Four-Year College,Kirksville,MO,63501-4221,USA,6,40.190150,-92.582700,2021-03-01,2021,"Philip Agee and the CIA in Ecuador, 1960-1963",Summer Stipends,Research Programs,6000.00,0.00,6000.00,0.00,6000.00,0.00,2021-06-01,2021-07-31,"Philip Agee published ""Inside the Company: CIA Diary"" in 1975 as the first uncensored exposé of CIA operations. His account drew both praise and condemnation for “naming names” of CIA case officers and their agents. Questions have always lingered regarding Agee’s motivation as well as the veracity of the information he includes, particularly since he did not have access to CIA or other government reports to write the book. Now, years later, with corroborating CIA and State Department documents along with foreign ministry records from Latin America, we can begin to answer these questions. Rather than examining this material through the lens of diplomatic history or international relations, this project employs a social history methodology to understand what we can learn from Agee’s account about those who were the targets of his investigations. The result will be a scholarly article in a peer-reviewed journal that will advance our knowledge of the Latin American left.","Research leading to a journal article on Philip Agee’s 1975 account of his personal experience in the CIA, with a focus on Ecuador during the Cold War, 1960-1963.",Latin American History,0,NULL,1,Marc Becker [Project Director],3,Diplomatic History; Latin American History; Latin American Studies
FT-278842-21,2,"University of Texas, Dallas",University,Richardson,TX,75080-3021,USA,32,32.978190,-96.748170,2021-03-01,2021,Rereading American Women's Crime Fiction of the Cold War,Summer Stipends,Research Programs,6000.00,0.00,6000.00,0.00,6000.00,0.00,2021-06-15,2021-08-14,"Feminine Noir?: Rereading American Women’s Crime Fiction of the Cold War is a scholarly monograph-in-progress. I have three purposes: (1) to think about women’s crime fiction as cultural documents of the Cold War that engage with what historian Elaine Tyler May calls “domestic containment”; (2) to present a comparative reception study of these books in their Cold War pulp paperback formats and in their contemporary feminist reprints; and (3) to rewrite the history of American crime fiction to more accurately reflect the centrality of women writers. Using a history of the book approach, I argue that these books illuminated how women navigated a society in which literal and symbolic violence against women and children was quite ordinary, and state authorities were often indifferent or hostile to the victims. In an era before second-wave feminism made cultural conversations about rape, sexual violence, and child abuse public, these texts engaged precisely those issues.","Archival
research relating to a book on women’s genre fiction in the cold war era.",American Studies,0,NULL,1,Erin Smith [Project Director],2,American Literature; American Studies
FT-278860-21,2,North Dakota State University,Four-Year College,Fargo,ND,58102-1843,USA,1,46.905910,-96.797130,2021-03-01,2021,"Material Matters: Book and Bodies in Indigenous Literary History, 1772-1936",Summer Stipends,Research Programs,6000.00,0.00,6000.00,0.00,6000.00,0.00,2021-06-01,2021-07-31,"Material Matters focuses on Indigenous authors during the long nineteenth century, from 1772 to 1936, to examine the known firsts of Indigenous literature through their book history. Starting with Samson Occom’s A Sermon Preached at the Execution of Moses Paul (1772) as the first book published in English by a Native author, and moving to other first entries into Indigenous literary production, I argue that the publication history of Indigenous books matter: they embody a frontline of colonization in which Indigenous authors battle the public perception and reception of Indigenous books and negotiate the representations of Indigenous bodies. Few Indigenous have ever been studied extensively in terms of their book history, and through textual and bibliographical analysis along with substantial archival research, I attend to this significant scholarly gap by demonstrating the cultural connection between book history and the histories of displacement and resistance of Indigenous peoples.","Complete a five-chapter manuscript on Indigenous
book history, spanning 1772-1936. &nbsp;",Native American Studies,0,NULL,1,Amy Gore [Project Director],2,American Literature; Native American Studies
FT-278865-21,2,Bowdoin College,Four-Year College,Brunswick,ME,04011-8447,USA,1,43.854690,-70.028320,2021-03-01,2021,"Singing in the City of Angels: Race, Identity, and Devotion in Early Modern Puebla de los Ángeles",Summer Stipends,Research Programs,6000.00,0.00,6000.00,0.00,6000.00,0.00,2021-06-15,2021-08-14,"I plan to conduct archival research in Mexico for my book project “Singing in the City of Angels: Race, Identity, and Devotion in Early Modern Puebla de los Ángeles.” The book examines the relationship between devotional songs and early modern culture in seventeenth-century New Spain.","Research and writing of a book about devotional
songs and early modern culture in seventeenth-century New Spain.",Music History and Criticism,0,NULL,1,Ireri Chávez Bárcenas [Project Director],3,"Latin American Studies; Music History and Criticism; Religion, General"
FT-278869-21,2,Loyola Marymount University,Four-Year College,Los Angeles,CA,90045-2650,USA,43,33.968000,-118.422900,2021-03-01,2021,"Impacts of Travel Culture on the Formation of Chinese, Japanese, and U.S. Modernity and Global Identities from 1880 to 1940",Summer Stipends,Research Programs,6000.00,0.00,6000.00,0.00,6000.00,0.00,2021-06-01,2021-07-31,"Situated on the intersection of Asian American studies, U.S. history, and East Asian studies, my book manuscript uses archival materials in China, Japan, Taiwan, and the United States to analyze the ways in which transpacific exchanges between the 1880s and 1940s unsettled and reframed political, racial, and cultural modalities for Asians and Americans within the dual contexts of the U.S.' global rise and shifts in Asian axes of power.  It seeks to highlight the role of Asians and Asian Americans as cultural intermediaries and to contribute to the study of U.S. history by incorporating transnational perspectives.  The vogue for travel among Americans and Asians developed coterminously with the creation of new forms of intercultural relations and recalibrated nationalist projects on both sides of the Pacific.  Ultimately, encounters between China, Japan, and the United States enabled the three nation-states to craft global identities and definitions of modernity for their own purposes.","Writing a chapter for a book on the impact of transpacific travel on U.S.-Asian cultures and relationships, 1880-1940.",U.S. History,0,NULL,1,Constance Chen [Project Director],3,Asian American Studies; East Asian History; U.S. History
FT-278874-21,2,"University of Michigan, Ann Arbor",University,Ann Arbor,MI,48109-1382,USA,12,42.274940,-83.740770,2021-03-01,2021,Making the Green Revolution: Landscapes of Conflict and Peace in Colombia,Summer Stipends,Research Programs,6000.00,0.00,6000.00,0.00,6000.00,0.00,2022-06-10,2022-08-09,"Making the Green Revolution connects the global Green Revolution in agricultural science and technology to modernization politics in Colombia and that country’s long-running rural conflict and violence. This book is based on archival research in over a dozen locations in Colombia, Puerto Rico, and the mainland United States. It is a revision of my 2019 Yale dissertation, which won prizes from Yale and the Agricultural History Society. The manuscript is under advanced contract with the University of North Carolina Press for the award-winning environmental history series “Flows, Migrations, and Exchanges.” An NEH Summer Stipend would facilitate targeted research to respond to reviewers' comments (in hand) and complete the manuscript by August 15, 2021. If public health conditions allow, I plan to spend June 1 - July 31, 2021 in Cali and Bogota, Colombia.","Research for a book analyzing the place of
Colombia in the history of the Green Revolution in agriculture that began in
the 1960s.&nbsp;",Latin American History,0,NULL,1,Timothy Lorek [Project Director],3,History of Science; Latin American History; Rural Studies
FT-278888-21,2,"CUNY Research Foundation, Hunter College",Four-Year College,New York,NY,10065-5024,USA,12,40.769010,-73.965130,2021-03-01,2021,Bodies in Stone and Steel: An Aesthetics and Ethics of Commemorative Art,Summer Stipends,Research Programs,6000.00,0.00,6000.00,0.00,6000.00,0.00,2021-06-01,2021-07-31,"Bodies in Stone and Steel: An Aesthetics and Ethics of Commemorative Art, aims to be the first monograph devoted to a philosophical investigation of commemorative art.  It takes up questions such as: What are the characteristic aesthetic effects of deliberate monuments and memorials, that is, how do they characteristically make spectators think and feel? How have the aesthetic codes of monuments and memorials developed historically and how might they fruitfully evolve in response to current controversies? Should societies continue to utilize such works to impart political and ethical lessons in public space, or should monuments become a mere relic in modern, pluralistic societies?  A major aim of my project is to offer a moderate defense of monuments in the U.S. against iconoclastic arguments.",Writing toward the completion of a book on the function of monuments for the commemoration of shared civic ideals.,Aesthetics,0,NULL,1,Sandra Shapshay [Project Director],3,"Aesthetics; Ethics; History, Criticism, and Theory of the Arts"
FT-278925-21,2,Auburn University,University,Auburn,AL,36849-0001,USA,3,32.605600,-85.490430,2021-03-01,2021,Architectural Design and the Emergence of a Modern Notion of History: The Hospital of Santo Spirito in Sassia in Renaissance Rome,Summer Stipends,Research Programs,6000.00,0.00,6000.00,0.00,6000.00,0.00,2021-06-15,2021-08-14,"My project is a book manuscript investigating the relationship between architecture and historical understanding in 15th-century Italy that focuses on a monumental public hospital built in Rome. Its architect is unknown, the architecture not in line with current views about Renaissance architecture and its significance has gone undetected. I have identified the architect as one of the most important of his generation, leader of a group of vanguard humanists who collaborated on the design. I argue they manifested in that design their idea of architecture and its relation to new notions of history. My book inserts the hospital in the canon of Renaissance architecture; shows how architectural languages can provide evidence about intellectual contexts where written documents stop short; and examines the phenomenon of architects advancing history-writing methods, thereby contributing to our understanding of the genesis of architectural history and the discipline of history.",Research&nbsp;and writing of a book on the architectural history of the Hospital of Santo Spirito in&nbsp;Sassia in Rome.,Renaissance History,0,NULL,1,Carla Keyvanian [Project Director],2,Architecture; Renaissance History
FT-278927-21,2,"CUNY Research Foundation, City College",Four-Year College,New York,NY,10031-9101,USA,13,40.818670,-73.950700,2021-03-01,2021,Empire of Exile: Treason and Banishment in Late Ottoman History,Summer Stipends,Research Programs,6000.00,0.00,6000.00,0.00,6000.00,0.00,2021-06-01,2021-07-31,"This project investigates how one of the world’s most important empires—the Ottoman Empire (1299-1922)—deployed exile as a tool of governance and offers a novel case study of treason in Middle East history. It reconstructs how exile shaped Ottoman political and social history, particularly conceptions of imperial belonging and territoriality. Weaving together legal, administrative, and literary sources, it considers the exercise and limits of state authority and violence, the notion of a collective that traitors were charged with acting against, and the emergence of an idea of an imperial homeland. In essence, “Empire of Exile” asks what it meant to be an Ottoman subject through the study of people accused of threatening the social and political order. The NEH grant will support the writing of a journal article that charts the constellation of crimes that constituted treason and traces the emergence of a uniquely Ottoman culture of exile.",Research and writing for a history of internal exile in the late Ottoman Empire (1700-1900).,Near and Middle Eastern History,0,NULL,1,Lale Can [Project Director],3,Near and Middle Eastern History; Political History; Turkish Studies
FT-278929-21,2,Franklin and Marshall College,Four-Year College,Lancaster,PA,17603-2827,USA,11,40.049590,-76.316470,2021-03-01,2021,From Protest Song to Social Song: Music and Resistance in Colombia Through Fifty Years of Conflict,Summer Stipends,Research Programs,6000.00,0.00,6000.00,0.00,6000.00,0.00,2021-08-01,2021-09-30,"My project registers the development of Colombian protest song in the 1960s alongside the rise of communist guerrillas and tracks its rebranding as social song in the 1990s, when public support for the rebels waned. I argue that the terminological shift from protest song to social song represents a profound transformation in Colombian society’s views of armed resistance amidst a fifty-year civil conflict. My book is the first to analyze oppositional music in Colombia, a country where guerrilla violence persisted long after it dissipated elsewhere in Latin America. By evaluating the complicated legacies of twentieth-century revolutionary rhetoric and the protest music that propagated it, my project will contribute new perspectives to Latin American cultural and political history. Insomuch as it investigates the changing contexts within which musical resistance was defined in Colombia, it will also inform scholarly inquiry into the contingent nature of resistance.",Writing and revising an ethnomusicological study of&nbsp;Colombian&nbsp;folk songs written between the 1960s and the 1990s.&nbsp;,Ethnomusicology,0,NULL,1,Joshua Katz-Rosene [Project Director],3,Ethnomusicology; Latin American Studies; Music History and Criticism
FT-278930-21,2,University of Connecticut,Four-Year College,Storrs,CT,06269-9000,USA,2,41.806360,-72.248350,2021-03-01,2021,Memorialization as Symbolic Reparation in the Inter-American Human Rights System,Summer Stipends,Research Programs,6000.00,0.00,6000.00,0.00,6000.00,0.00,2021-05-11,2021-07-10,"In international human rights law, symbolic reparation has emerged as a compelling mode of embodying both the duty to repair victims of human rights violations and aspirations toward a more moral and just society. For the Inter-American Human Rights System, symbolic reparation has become a key juridical tool in promoting human rights. Yet the translation of those values into effective results remains a challenge. This book project unites the discourses of art history and international human rights law to address the role of memorialization in symbolic reparation in the context of the IAHRS. It examines five emblematic IAHRS decisions involving memorials, each encapsulating vital concerns regarding the protection and promotion of human rights, to analyze their successes and failures. It mounts an argument for the reparative and transformative potential of memorialization, centered on victim agency, process, aesthetics, and activating the connection between repair and transformation.",Writing the final two chapters&nbsp;of a book&nbsp;on&nbsp;public&nbsp;art&nbsp;intended to function&nbsp;as symbolic reparation within the context of Human Rights Law&nbsp;in&nbsp;the&nbsp;Americas.,Art History and Criticism,0,NULL,1,Robin Greeley [Project Director],3,Art History and Criticism; Latin American Studies; Law and Jurisprudence
FT-278937-21,2,University of Kentucky Research Foundation,Four-Year College,Lexington,KY,40506-0004,USA,6,38.039190,-84.506540,2021-03-01,2021,Making Knowledge: Synthesis and the Aims of Science,Summer Stipends,Research Programs,6000.00,0.00,6000.00,0.00,6000.00,0.00,2021-06-01,2021-08-31,"The branch of philosophy known as epistemology investigates how human knowledge works. The foundational question of this discipline is “How do we know?” That is, what counts as knowledge, and when do we have it? Science is often cited as generating special access to certain kinds of knowledge, but philosophical study of how science contributes to epistemology has primarily analyzed scientific theories, models, and explanations as the houses of knowledge. Philosophers have overlooked how the fruits of scientific making — that is, the synthesis of chemicals, materials, and biological parts — contribute to the structure and character of scientific knowledge. Using case studies from nanoscience, this project will establish an account of how synthesis generates and shapes scientific knowledge. The account will form the concluding chapter of my in-progress debut monograph, which concerns the contributions of nanoscience to philosophy of science.","Research and writing a book about how the study
of nanotechnology contributes to the philosophy of science.",Philosophy of Science,0,NULL,1,Julia Bursten [Project Director],1,Philosophy of Science
FT-278946-21,2,Saint Mary's College of California,Four-Year College,Moraga,CA,94575-2715,USA,11,37.840960,-122.109500,2021-03-01,2021,Encountering the Divine: Religious Intelligences in a Catholic Convent,Summer Stipends,Research Programs,6000.00,0.00,6000.00,0.00,6000.00,0.00,2021-07-01,2021-08-31,"The proposed research will provide a critical foundation to understanding what religious intelligences are and how they interactively arise.  Taking Catholic nuns as its focus, the present project will bring focused analysis to an existing corpus of data gathered in a Catholic convent in the midwestern United States with expert experiencers to ask the following questions: (1) what knowledge, associated outcomes, and community impacts do Catholic nuns associate with religious intelligences (defined here as: the specific knowledge and skills that arise from interaction with the divine) and (2) what are the communicative conditions through which religious intelligences arises and are shared in the convent.  By devoting analytic attention to uncovering how religious intelligences arise and are shared in one ethnographic field site, the project will develop a research framework for the investigation of religious intelligence that will be available to be applied to future research.",Writing an article on how Catholic nuns talk about religious experience.,Linguistic Anthropology,0,NULL,1,Anna Corwin [Project Director],2,"Linguistic Anthropology; Religion, General"
FT-278947-21,2,Xavier University,Four-Year College,Cincinnati,OH,45207-1092,USA,1,39.150140,-84.476340,2021-03-01,2021,Chicago Footwork: Re-Imagining Community and Interrogating the Politics of Home through Dance,Summer Stipends,Research Programs,6000.00,0.00,6000.00,0.00,6000.00,0.00,2021-06-10,2021-08-09,"Chapter 1 of my book project is titled “Footwork was My Sanctuary”: Toward an African Diasporic Spiritual Heritage. Chicago Footwork is a cultural practice endemic to Chicago and performed by Black youth on the South and West sides. As cultural critic and former practitioner, I will examine Footwork's potential for nation-building, ""homemaking,"" and self-actualizing, in response to structural inequities and repressive power structures in Chicago.  But this chapter, specifically, achieves this goal by situating Chicago Footwork culture within an Afro-Diasporic spiritual heritage, dating back to prehistoric Africa and transatlantic slavery.  As a humanities research project, it examines a cultural formation birthed from interlocking systems of oppression, as well as the artform as an embodied vernacular dance of liberation.  Thus, I locate Chicago Footwork as part of the Black expressive tradition ripe for interdisciplinary study in fields such as African American and Cultural Studies.","Research
and writing for the first chapter of a larger book project examining the
practice of Chicago footwork, a contemporary dance form. &nbsp;",African American Studies,0,NULL,1,ShaDawn Battle [Project Director],2,"African American Studies; Interdisciplinary Studies, Other"
FT-278950-21,2,Southern Utah University,Four-Year College,Cedar City,UT,84720-2415,USA,2,37.684460,-113.069290,2021-03-01,2021,Rewriting Good and Evil: The Ethics of Narrative Causality in Holocaust Fiction of Edgar Hilsenrath (1926-2018),Summer Stipends,Research Programs,6000.00,0.00,6000.00,0.00,6000.00,0.00,2021-07-01,2021-08-31,"Research and writing leading to publication of book on Holocaust survivor and German Jewish author Edgar Hilsenrath (1926-2018).   The Holocaust has generated tremendous discussion about good and evil, much of which revolves around the notion that we can clearly distinguish between perpetrators and victims. In Hilsenrath’s works, both Jewish victims and Nazi perpetrators are rendered disfigured, transformed by violence, despite being on opposite ends of the spectrum. Hilsenrath thus rewrites common conceptions of good and evil. My project, Rewriting Good and Evil: The Ethics of Narrative Causality in Edgar Hilsenrath’s Disfigured Holocaust Fiction, is the first wide-ranging study to introduce the author and his fiction to English-speaking scholars, students, and other readers interested in the history of the Holocaust and its representation in literature. I seek support from the National Endowment for the Humanities’ Summer Stipends program to complete the book's fourth chapter.","Research and writing the fourth chapter of a
book on Edgar Hilsenrath's novels, which analyzes the aesthetics of depicting disfigured
and deformed characters.",German Literature,0,NULL,1,Corey Twitchell [Project Director],3,European History; German Literature; Jewish Studies
FT-278955-21,2,Western Kentucky University,University,Bowling Green,KY,42101-1000,USA,2,37.004710,-86.438230,2021-03-01,2021,Militarized Masculinity in the Bosnian Genocide,Summer Stipends,Research Programs,6000.00,0.00,6000.00,0.00,6000.00,0.00,2022-05-15,2022-07-14,"This article-length research project focuses on the trials of Croatian and Serbian men accused of committing crimes against humanity and crimes of genocide during the Yugoslav Civil Wars of the 1990s. Specifically, I will study the trial records associated with 59 men sentenced by the International Criminal Tribunal for the former Yugoslavia (ICTY). Through a narrative analysis of court transcripts, judgments, and testimonies of those sentenced, I will identify the defense strategies the indicted perpetrators employed to create an explanatory framework for their wartime crimes. This research will delineate how culturally dominant ideas about masculinity during wartime create a context in which “ordinary men” can transform into war criminals and become agents of genocide. The project’s results will enhance our understanding of ethnic cleansing operations in Bosnia as motivated not only by regional ethno-religious grievances but also by local and context-specific gender dynamics.",Research and writing towards an article analyzing the function of gender in defense strategies during war crimes tribunals following the Yugoslav Civil Wars in the 1990s.,European History,0,NULL,1,Marko Dumancic [Project Director],2,European History; Gender Studies
FT-278965-21,2,University of Wyoming,Four-Year College,Laramie,WY,82071-2000,USA,1,41.715060,-105.797380,2021-03-01,2021,"The Church Militant: Loyalism, the Church of England, and the American Revolution",Summer Stipends,Research Programs,6000.00,0.00,6000.00,0.00,6000.00,0.00,2021-06-01,2021-07-31,"This project is about religious modernity and its discontents. It focuses on Anglicans in colonial New England and the Mid-Atlantic, a community notable for their overwhelming and forceful Loyalism during the American Revolution. This project treats their Loyalism as one aspect of a larger counterrevolutionary project comprising a series of novel political, intellectual, theological, and spiritual orientations. These Anglican Loyalists should be seen, not as stubbornly anachronistic reactionaries, but as key observers of and participants in religious modernity. They were occupied by the question of how to be religious in a modern, democratic society, a question which in the present moment is more important than ever. This project thus traces contemporary debates about religion and the public square back to the nation's founding, and is intended as a contribution to the public discussion occasioned by the Revolution's upcoming anniversary.",Write three chapters of a history of Loyalist Anglicans during the American Revolution.,U.S. History,0,NULL,1,Peter Walker [Project Director],3,British History; History of Religion; U.S. History
FT-278978-21,2,Lewis and Clark College,Four-Year College,Portland,OR,97219-8091,USA,3,45.442900,-122.662720,2021-03-01,2021,"Safe Migration: Documentation, Debt and Development in Southeast Asia",Summer Stipends,Research Programs,6000.00,0.00,6000.00,0.00,6000.00,0.00,2021-06-01,2021-07-31,"Safe Migration is an ethnography of migration and development in Southeast Asia.  Based on six months of multi-sited ethnographic fieldwork in Thailand and Cambodia, and informed by over a decade of humanistic research in migrant sending communities, this book explores the intensifying efforts to order, regulate, and manage migration in Southeast Asia.  The book has two central goals: first, it aims to complicate development discourses that conflate regular migration with safe migration. In doing so, it also draws attention to changing migration dynamics in the Global South, and describe how intensified entanglements with formal institutions (states, NGOs, and financial institutions) can generate new costs and risks for both migrants and their families at home.  NEH funding will be used to provide support for two months of writing, allowing me time to complete a finalized manuscript of the book.","Research and writing a book about governmental and non-governmental initiatives on migration between Cambodia and Thailand, and the impact on the migrants themselves.",Area Studies,0,NULL,1,Maryann Bylander [Project Director],3,Area Studies; Geography; Sociology
FT-278982-21,2,Idaho State University,University,Pocatello,ID,83201-5377,USA,2,42.862250,-112.433380,2021-03-01,2021,Visual Narratives of Afroporteños Presence and Social Prestige in the Photographic Archive of Alexander Witcomb (1838-1905),Summer Stipends,Research Programs,6000.00,0.00,6000.00,0.00,6000.00,0.00,2021-06-01,2021-07-31,"I examine Alexander Witcomb’s photographic archive through the lens of cultural, race, and visual studies I will contribute to the understanding of the crucial role that Afroporteños have played in the construction of Argentinean culture and identities in the first decades of the 20th century. My project inserts the case of Afroporteños into broader discussions on race inside and outside Argentina, where race studies have primarily focused on whiteness, Jewish and Italian migration, and the occasional study of indigenous communities. I hope to intervene in this debate by pointing out the Afrodescendant presence in official archives and Argentinean visual culture beyond stereotypes and the performance of comic roles.","Writing of a scholarly article on blackness in Buenos Aires, using archival photographs from the collection of Alexander Witcomb, whose studio was open between 1880 and 1970.",Latin American Studies,0,NULL,1,Liz Moreno Chuquen [Project Director],3,"Arts, Other; Hispanic American Studies; Latin American Studies"
FT-278983-21,2,New York University,Publishing,New York,NY,10012-1019,USA,10,40.730750,-73.998800,2021-03-01,2021,The Stranger: Existentialism and the Modernist Arts of South Asia,Summer Stipends,Research Programs,6000.00,0.00,6000.00,0.00,6000.00,0.00,2021-12-15,2022-02-13,"How did modernist poets, playwrights and artists imagine the idea of freedom in the early moments of a newly decolonized India, Pakistan and Bangladesh?  The Stranger: Existentialism and the Modernist Arts of South Asia draws on the artistic trope of the “stranger” to consider the development of existentialist thought by writers, artists, and critics from South Asia in the 1960s and 70s.  Arguing that existentialism offered a realm of freedom philosophically and aesthetically distinct from that augured by a new postcolonial citizenship, this project considers the range of texts that played with abstraction, metaphysics, and spirituality, insisting that the problem of the postcolonial self was still to be negotiated, even after Independence.  I focus specifically on two artistic engagements with French writers Jean-Paul Sartre and Albert Camus to ask how South Asian intellectuals created a distinct sense of the modern arts while also contributing to a global existentialist language.","Research and writing of a book on the development of existentialist thought in India, Pakistan, and Bangladesh during the 1960s and 1970s.",Comparative Literature,0,NULL,1,Toral Gajarawala [Project Director],2,Comparative Literature; South Asian Literature
FT-278997-21,2,"CUNY Research Foundation, Bernard Baruch College",Two-Year College,New York,NY,10010-5585,USA,12,40.740550,-73.983480,2021-03-01,2021,"Capital and State-Formation in the Ottoman Mediterranean, 1680-1830",Summer Stipends,Research Programs,6000.00,0.00,6000.00,0.00,6000.00,0.00,2021-06-01,2021-07-31,"This project analyzes a virtually unstudied network of regional port cities and coastal communities in the eastern Mediterranean that played a crucial role in the Ottoman Empire’s transition to state centralization and economic marginalization around the turn of the nineteenth century. The study is centered on Egypt’s Mediterranean coast, home to a middling stratum of Muslim brokers, merchants, landowners, ship captains, and petty officials who resisted and mediated imperial challenges of revenue collection, European encroachment, and crises of political legitimacy leading to centralizing reforms in Egypt and the Ottoman Empire by the mid-nineteenth century. This is the first book-length study of Ottoman port cities that were not primarily defined by their relationship to European capital. Instead, it emphasizes aspects of Ottoman-Islamic financial, legal, and commercial culture that are often subsumed to European forms as the hallmarks of modernity in the eastern Mediterranean.","Writing a history of maritime trade in the eastern Mediterranean during the late Ottoman era, focused on ports along the Egyptian coast.",Near and Middle Eastern History,0,NULL,1,Zoe Griffith [Project Director],1,Near and Middle Eastern History
FT-278999-21,2,University of South Florida,University,Tampa,FL,33620-9951,USA,14,28.054540,-82.413680,2021-03-01,2021,"Citizenship and its Boundaries: Law, Islam, and Empire in Senegal, 1870s-1930s",Summer Stipends,Research Programs,6000.00,0.00,6000.00,0.00,6000.00,0.00,2021-06-01,2021-07-31,"This project explores how African men and women imagined and practiced citizenship in French colonial Senegal. Senegal was the site of a legal anomaly: four towns whose inhabitants claimed and exercised rights generally reserved for French citizens, yet did so while conducting their personal affairs according to Muslim law rather than the French civil code. This seeming contradiction held implications for the expansion and restriction of rights in other colonies and prompted decades of debate. Through laws, court cases, elections, petitions, and protests, we see how Senegalese men and women shaped that debate, mobilizing their own ideas about citizenship to seek political rights, legal protections, religious autonomy, and economic and educational opportunities. I argue that as they made claims on the French state, they also raised questions about the compatibility of French citizenship and Muslim law and called attention to the contradictions underpinning the French imperial project.<br />","Research and revise chapter five and the
introduction for a book that examines how Senegalese citizenship was
continuously redefined and re-imagined by African men and women who negotiated
their notions about identity at the beginning of the twentieth century.",African History,0,NULL,1,Larissa Kopytoff [Project Director],3,African History; European History; Legal History
FT-279021-21,2,"Southeastern University, Inc.",Four-Year College,Lakeland,FL,33801-6034,USA,15,28.032580,-81.920060,2021-03-01,2021,Dramatic Prosthesis: Disability Studies and Drama,Summer Stipends,Research Programs,6000.00,0.00,6000.00,0.00,6000.00,0.00,2021-06-01,2021-07-31,"This monograph theorizes frameworks for a dramatic disability studies, a much-needed intervention in the field of literary disability studies, and provides three case studies of its application. Challenging current text-based approaches, foremost ""narrative prosthesis,"" the project interrogates how staged drama's reliance on embodiment--both of actors and audience members-- shifts representations and interpretations of disability. It offers analyses of Sophocles' Oedipus, Shakespeare's King Lear, and Nottage's Ruined as examples.",Research and writing for a book on the representation of disability in theatrical performances.&nbsp;,Theater History and Criticism,0,NULL,1,Cameron McNabb [Project Director],2,"Literature, General; Theater History and Criticism"
